ano_mes,forma_pagamento,quantidade,valor
2002-04,Boleto,0.0,0.0
2002-04,Cheque,0.0,0.0
2002-04,DOC,0.0,0.0
2002-04,Pix,0.0,0.0
2002-04,TEC,0.0,0.0
2002-04,TED,12.77,14986.23
2002-05,Boleto,0.0,0.0
2002-05,Cheque,0.0,0.0
2002-05,DOC,0.0,0.0
2002-05,Pix,0.0,0.0
2002-05,TEC,0.0,0.0
2002-05,TED,48.53,48743.0
2002-06,Boleto,0.0,0.0
2002-06,Cheque,0.0,0.0
2002-06,DOC,0.0,0.0
2002-06,Pix,0.0,0.0
2002-06,TEC,0.0,0.0
2002-06,TED,62.5,62651.63
2002-07,Boleto,0.0,0.0
2002-07,Cheque,0.0,0.0
2002-07,DOC,0.0,0.0
2002-07,Pix,0.0,0.0
2002-07,TEC,0.0,0.0
2002-07,TED,141.82,73289.24
2002-08,Boleto,0.0,0.0
2002-08,Cheque,0.0,0.0
2002-08,DOC,0.0,0.0
2002-08,Pix,0.0,0.0
2002-08,TEC,0.0,0.0
2002-08,TED,416.79,99964.19
2002-09,Boleto,0.0,0.0
2002-09,Cheque,0.0,0.0
2002-09,DOC,0.0,0.0
2002-09,Pix,0.0,0.0
2002-09,TEC,0.0,0.0
2002-09,TED,470.14,104000.97
2002-10,Boleto,0.0,0.0
2002-10,Cheque,0.0,0.0
2002-10,DOC,0.0,0.0
2002-10,Pix,0.0,0.0
2002-10,TEC,0.0,0.0
2002-10,TED,588.13,128981.39
2002-11,Boleto,0.0,0.0
2002-11,Cheque,0.0,0.0
2002-11,DOC,0.0,0.0
2002-11,Pix,0.0,0.0
2002-11,TEC,0.0,0.0
2002-11,TED,1013.94,168926.14
2002-12,Boleto,0.0,0.0
2002-12,Cheque,0.0,0.0
2002-12,DOC,0.0,0.0
2002-12,Pix,0.0,0.0
2002-12,TEC,0.0,0.0
2002-12,TED,1346.78,221448.71
2003-01,Boleto,0.0,0.0
2003-01,Cheque,0.0,0.0
2003-01,DOC,0.0,0.0
2003-01,Pix,0.0,0.0
2003-01,TEC,0.0,0.0
2003-01,TED,1363.91,199644.76
2003-02,Boleto,0.0,0.0
2003-02,Cheque,0.0,0.0
2003-02,DOC,0.0,0.0
2003-02,Pix,0.0,0.0
2003-02,TEC,0.0,0.0
2003-02,TED,1327.37,184092.37
2003-03,Boleto,0.0,0.0
2003-03,Cheque,0.0,0.0
2003-03,DOC,0.0,0.0
2003-03,Pix,0.0,0.0
2003-03,TEC,0.0,0.0
2003-03,TED,1359.27,193562.64
2003-04,Boleto,0.0,0.0
2003-04,Cheque,0.0,0.0
2003-04,DOC,0.0,0.0
2003-04,Pix,0.0,0.0
2003-04,TEC,0.0,0.0
2003-04,TED,1518.94,216362.08
2003-05,Boleto,0.0,0.0
2003-05,Cheque,0.0,0.0
2003-05,DOC,0.0,0.0
2003-05,Pix,0.0,0.0
2003-05,TEC,0.0,0.0
2003-05,TED,1618.01,220843.73
2003-06,Boleto,0.0,0.0
2003-06,Cheque,0.0,0.0
2003-06,DOC,0.0,0.0
2003-06,Pix,0.0,0.0
2003-06,TEC,0.0,0.0
2003-06,TED,1591.39,202148.8
2003-07,Boleto,0.0,0.0
2003-07,Cheque,0.0,0.0
2003-07,DOC,0.0,0.0
2003-07,Pix,0.0,0.0
2003-07,TEC,0.0,0.0
2003-07,TED,1771.72,213686.06
2003-08,Boleto,0.0,0.0
2003-08,Cheque,0.0,0.0
2003-08,DOC,0.0,0.0
2003-08,Pix,0.0,0.0
2003-08,TEC,0.0,0.0
2003-08,TED,1719.02,196817.44
2003-09,Boleto,0.0,0.0
2003-09,Cheque,0.0,0.0
2003-09,DOC,0.0,0.0
2003-09,Pix,0.0,0.0
2003-09,TEC,0.0,0.0
2003-09,TED,1897.64,224618.09
2003-10,Boleto,0.0,0.0
2003-10,Cheque,0.0,0.0
2003-10,DOC,0.0,0.0
2003-10,Pix,0.0,0.0
2003-10,TEC,0.0,0.0
2003-10,TED,1971.88,233316.02
2003-11,Boleto,0.0,0.0
2003-11,Cheque,0.0,0.0
2003-11,DOC,0.0,0.0
2003-11,Pix,0.0,0.0
2003-11,TEC,0.0,0.0
2003-11,TED,1740.99,209832.86
2003-12,Boleto,0.0,0.0
2003-12,Cheque,0.0,0.0
2003-12,DOC,0.0,0.0
2003-12,Pix,0.0,0.0
2003-12,TEC,0.0,0.0
2003-12,TED,2032.09,264878.87
2004-01,Boleto,0.0,0.0
2004-01,Cheque,0.0,0.0
2004-01,DOC,0.0,0.0
2004-01,Pix,0.0,0.0
2004-01,TEC,0.0,0.0
2004-01,TED,1859.5,228550.04
2004-02,Boleto,0.0,0.0
2004-02,Cheque,0.0,0.0
2004-02,DOC,2474.78,2337.78
2004-02,Pix,0.0,0.0
2004-02,TEC,0.0,0.0
2004-02,TED,1783.22,217113.66
2004-03,Boleto,0.0,0.0
2004-03,Cheque,0.0,0.0
2004-03,DOC,8699.84,8212.5
2004-03,Pix,0.0,0.0
2004-03,TEC,0.0,0.0
2004-03,TED,2695.43,275020.11
2004-04,Boleto,0.0,0.0
2004-04,Cheque,0.0,0.0
2004-04,DOC,8118.56,7651.84
2004-04,Pix,0.0,0.0
2004-04,TEC,0.0,0.0
2004-04,TED,2545.08,265856.16
2004-05,Boleto,0.0,0.0
2004-05,Cheque,46830.24,26000.78
2004-05,DOC,8457.05,7918.68
2004-05,Pix,0.0,0.0
2004-05,TEC,0.0,0.0
2004-05,TED,2716.05,281924.13
